{ r: 3, n: 10, det_states: 378, det_time: 1, me_states: 369, me_time: 1  }
{ r: 3, n: 10, det_states: 1710, det_time: 4, me_states: 926, me_time: 2  }
{ r: 3, n: 10, det_states: 1472, det_time: 5, me_states: 985, me_time: 2  }
{ r: 4, n: 10, det_states: 6, det_time: 0, me_states: 6, me_time: 0  }
{ r: 4, n: 10, det_states: 11, det_time: 0, me_states: 11, me_time: 0  }
{ r: 4, n: 10, det_states: 888, det_time: 3, me_states: 855, me_time: 2  }
{ r: 4, n: 10, det_states: 1113, det_time: 6, me_states: 749, me_time: 3  }
{ r: 4, n: 10, det_states: 1500, det_time: 6, me_states: 1034, me_time: 4  }
{ r: 4, n: 10, det_states: 1512, det_time: 6, me_states: 1019, me_time: 4  }
{ r: 4, n: 10, det_states: 1980, det_time: 9, me_states: 1151, me_time: 5  }
{ r: 5, n: 10, det_states: 16, det_time: 0, me_states: 16, me_time: 0  }
{ r: 5, n: 10, det_states: 10, det_time: 0, me_states: 10, me_time: 0  }
{ r: 5, n: 10, det_states: 31, det_time: 0, me_states: 31, me_time: 0  }
{ r: 5, n: 10, det_states: 50, det_time: 0, me_states: 50, me_time: 0  }
{ r: 5, n: 10, det_states: 45, det_time: 0, me_states: 45, me_time: 1  }
{ r: 5, n: 10, det_states: 711, det_time: 5, me_states: 641, me_time: 4  }
{ r: 5, n: 10, det_states: 4540, det_time: 32, me_states: 1966, me_time: 14  }
{ r: 3, n: 11, det_states: 8, det_time: 0, me_states: 8, me_time: 0  }
{ r: 3, n: 11, det_states: 110, det_time: 1, me_states: 72, me_time: 0  }
{ r: 3, n: 11, det_states: 245, det_time: 1, me_states: 233, me_time: 0  }
{ r: 3, n: 11, det_states: 148, det_time: 1, me_states: 148, me_time: 0  }
{ r: 3, n: 11, det_states: 1117, det_time: 2, me_states: 799, me_time: 2  }
{ r: 3, n: 11, det_states: 991, det_time: 3, me_states: 788, me_time: 2  }
{ r: 3, n: 11, det_states: 1537, det_time: 4, me_states: 979, me_time: 3  }
{ r: 4, n: 11, det_states: 585, det_time: 4, me_states: 497, me_time: 3  }
{ r: 4, n: 11, det_states: 1260, det_time: 9, me_states: 1142, me_time: 7  }
{ r: 4, n: 11, det_states: 1710, det_time: 9, me_states: 1446, me_time: 7  }
{ r: 4, n: 11, det_states: 1974, det_time: 11, me_states: 1507, me_time: 8  }
{ r: 4, n: 11, det_states: 2100, det_time: 12, me_states: 1533, me_time: 9  }
{ r: 4, n: 11, det_states: 2370, det_time: 14, me_states: 1585, me_time: 9  }
{ r: 4, n: 11, det_states: 3174, det_time: 20, me_states: 1798, me_time: 11  }
{ r: 5, n: 11, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 5, n: 11, det_states: 49, det_time: 1, me_states: 49, me_time: 0  }
{ r: 5, n: 11, det_states: 2810, det_time: 20, me_states: 2439, me_time: 18  }
{ r: 5, n: 11, det_states: 7054, det_time: 74, me_states: 3226, me_time: 36  }
{ r: 5, n: 11, det_states: 7382, det_time: 81, me_states: 3458, me_time: 39  }
{ r: 5, n: 11, det_states: 10686, det_time: 119, me_states: 3765, me_time: 45  }
{ r: 5, n: 11, det_states: 21734, det_time: 242, me_states: 5703, me_time: 70  }
{ r: 3, n: 12, det_states: 18, det_time: 0, me_states: 10, me_time: 0  }
{ r: 3, n: 12, det_states: 551, det_time: 2, me_states: 62, me_time: 0  }
{ r: 3, n: 12, det_states: 319, det_time: 2, me_states: 317, me_time: 1  }
{ r: 3, n: 12, det_states: 724, det_time: 4, me_states: 484, me_time: 1  }
{ r: 3, n: 12, det_states: 964, det_time: 4, me_states: 815, me_time: 2  }
{ r: 3, n: 12, det_states: 1184, det_time: 4, me_states: 956, me_time: 3  }
